Basin,lat,lon,area,perimeter,length,drain_net,drain_area,shape,Kc,relief,Zmean,Zmax,Zmin,BRR,temp,NDVI,precip,rock,forest,wood,summit,wetland,urban,coihue,lenga,steppe,wetland2,highmnt,TAI,TAM,TAR,Total
Manzano-Jones,-40.9812,-71.279,30.49,37.4,13.1,13.38,0.44,0.0026,1.9,1038,1174.19,1892,854,0.079236641,16.80555556,0.1,1426.93,7.37,77.96,4.13,0,10.55,0,0,41.52,49.49,2.33,6.69,17,9.46,0,26.46
Millaqueo,-40.9743,-71.6598,52,42.31,16.96,35.64,0.69,0.0024,1.64,1252,1353.28,2018,766,0.073820755,11.11666667,0.13,2310.23,0,63.32,0,36.67,0,0,16.13,30.13,0,0,35.83,11.01,0,0.35,11.36
Neuquenco,-40.5768,-71.6595,21.94,26.31,6.96,7.42,0.34,0.007,1.57,1088,1128.61,1871,783,0.156321839,16.81111111,0.3,2302.93,0,53.04,36.24,10.73,0,0,46.17,21.1,0,0,5.52,5.16,1.54,0.09,6.78
Newbery,-40.9801,-71.1867,27.83,29.27,6.56,12.97,0.47,0.0108,1.55,660,1066.44,1454,794,0.100609756,21.53333333,-0.09,1137.5,60.25,0,19.38,0,19.84,0,0,0,100,0,0,0,0,0,0
Ñireco,-41.2078,-71.3215,113.16,62.83,19.74,37.55,0.33,0.0009,1.65,1455,1292.83,2228,773,0.073708207,10.62222222,0.01,1657.58,11.9,37.37,38.55,8.73,0,1.58,0,30.1,5.34,0,26.9,18.8,0.09,0,18.89
Ñirihuau,-41.2253,-71.1863,723.8,193.38,58.07,278.58,0.38,0.0001,2.01,1469,1191.72,2234,765,0.025297055,13.4,-0.04,1203.16,41.89,18.99,9.3,3.6,8.94,0.02,0,16.92,60.04,5.48,13.08,8.92,0.54,0,9.47
Patiruco,-41.0652,-71.7491,24.43,24.84,6.53,13,0.53,0.0125,1.41,1224,1271.24,2001,777,0.187442573,13.51111111,0.17,2165.42,0,80.76,0,18.38,0,0,23.82,58.37,0,0,17.81,12.13,0,2.55,14.69
Pedregoso,-40.9034,-71.369,20.53,25.35,7.22,8.52,0.41,0.008,1.57,1415,1567.94,2186,771,0.19598338,3.977777778,0,1796.36,0,45.62,7.32,47.06,0,0,0,2.19,0,0,85.24,1.45,0,0,1.45
Pireco,-40.7283,-71.8834,125.48,61.19,21.53,59.93,0.48,0.001,1.53,1183,1258.26,1937,754,0.054946586,12.34444444,0.19,2800.08,0,65.65,0,21.35,3.83,0,26.24,41.35,0,0,28.8,0.76,0.69,0,1.45
Quintriqueuco,-40.9248,-71.3206,15.26,20.8,5.47,5.48,0.36,0.012,1.49,1147,1526.57,1932,785,0.209689214,6.644444444,0.12,1576.86,23.17,68.78,5.04,3.03,0,0,0,55.37,0,0,39.06,8.19,0,0,8.19
Ragintuco,-40.8126,-71.4787,38.76,34.24,11.62,22.04,0.57,0.0042,1.54,1304,1460.31,2075,771,0.11222031,8.116666667,0.15,2132.3,0,57.67,0,42.34,0,0,14.4,41.51,0,0,37.18,1.1,0,0,1.1
Torrontegui,-41.2788,-71.439,17.47,20.03,6.16,6.16,0.35,0.0093,1.34,1342,1622.19,2145,803,0.217857143,2.583333333,0.03,1462.27,0,61.19,0,38.27,0,0,0,39.38,0,0,47.17,22.61,1.19,0.59,24.39
Tristeza,-41.2894,-71.3209,41.29,32.45,12.16,15.88,0.38,0.0026,1.41,1164,1648.61,2234,1070,0.095723684,3.455555556,-0.01,1733.11,32.36,63.47,4.19,0,0,0,0,37.54,0.48,0,52.97,20.56,0.32,0.32,21.19
Uhueco,-41.1671,-71.6557,5.44,10.82,3.42,3.42,0.63,0.0537,1.3,1212,1530.51,2024,812,0.354385965,6.305555556,0.15,2586.98,0,70.47,0,29.16,0,0,1.84,72.24,0,0,25.92,0,0,0,0
